DataSet,PubID,TrialID,TrtID,IFN,VarName,VarValue,VarUnits,N,SE,SD
NRC2019,87,1,239,1-02-243,ADF,36.1,%DM,-,-,-
NRC2019,87,1,239,4-26-023,ADF,2.5,%DM,-,-,-
NRC2019,87,1,239,1-04-560,ADF,44.7,%DM,-,-,-
NRC2019,87,1,239,5-20-638,ADF,4.6,%DM,-,-,-
NRC2019,87,1,239,SoyPass,ADF,2.8,%DM,-,-,-
NRC2019,87,1,240,3-28-248,ADF,18.9,%DM,-,-,-
NRC2019,87,1,240,AlfHay,ADF,32.7,%DM,-,-,-
NRC2019,87,1,240,1-02-243,ADF,36.1,%DM,-,-,-
NRC2019,87,1,240,4-02-854,ADF,2.5,%DM,-,-,-
NRC2019,87,1,240,1-04-560,ADF,44.7,%DM,-,-,-
NRC2019,87,1,240,5-20-638,ADF,4.6,%DM,-,-,-
NRC2019,87,1,240,SoyPass,ADF,2.8,%DM,-,-,-
NRC2019,87,1,241,3-28-248,ADF,18.9,%DM,-,-,-
NRC2019,87,1,241,AlfHay,ADF,32.7,%DM,-,-,-
NRC2019,87,1,241,1-02-243,ADF,36.1,%DM,-,-,-
NRC2019,87,1,241,4-02-854,ADF,2.5,%DM,-,-,-
NRC2019,87,1,241,1-04-560,ADF,44.7,%DM,-,-,-
NRC2019,87,1,241,5-20-638,ADF,4.6,%DM,-,-,-
NRC2019,87,1,241,SoyPass,ADF,2.8,%DM,-,-,-
NRC2019,87,1,242,3-28-248,ADF,18.9,%DM,-,-,-
NRC2019,87,1,242,AlfHay,ADF,32.7,%DM,-,-,-
NRC2019,87,1,242,1-02-243,ADF,36.1,%DM,-,-,-
NRC2019,87,1,242,4-02-854,ADF,2.5,%DM,-,-,-
NRC2019,87,1,242,1-04-560,ADF,44.7,%DM,-,-,-
NRC2019,87,1,242,5-20-638,ADF,4.6,%DM,-,-,-
NRC2019,87,1,242,SoyPass,ADF,2.8,%DM,-,-,-
